left,top,right,bottom,GC,anthromes
-180,-90,-179,-89,-89.5_-179.5,0
-180,-89,-179,-88,-88.5_-179.5,0
-180,-88,-179,-87,-87.5_-179.5,0
-180,-87,-179,-86,-86.5_-179.5,0
-180,-86,-179,-85,-85.5_-179.5,0
-180,-85,-179,-84,-84.5_-179.5,0
-180,-84,-179,-83,-83.5_-179.5,0
-180,-83,-179,-82,-82.5_-179.5,0
-180,-82,-179,-81,-81.5_-179.5,0
-180,-81,-179,-80,-80.5_-179.5,0
-180,-80,-179,-79,-79.5_-179.5,0
-180,-79,-179,-78,-78.5_-179.5,0
-180,-78,-179,-77,-77.5_-179.5,0
-180,-77,-179,-76,-76.5_-179.5,0
-180,-76,-179,-75,-75.5_-179.5,0
-180,-75,-179,-74,-74.5_-179.5,0
-180,-74,-179,-73,-73.5_-179.5,0
-180,-73,-179,-72,-72.5_-179.5,0
-180,-72,-179,-71,-71.5_-179.5,0
-180,-71,-179,-70,-70.5_-179.5,0
-180,-70,-179,-69,-69.5_-179.5,0
-180,-69,-179,-68,-68.5_-179.5,0
-180,-68,-179,-67,-67.5_-179.5,0
-180,-67,-179,-66,-66.5_-179.5,0
-180,-66,-179,-65,-65.5_-179.5,0
-180,-65,-179,-64,-64.5_-179.5,0
-180,-64,-179,-63,-63.5_-179.5,0
-180,-63,-179,-62,-62.5_-179.5,0
-180,-62,-179,-61,-61.5_-179.5,0
-180,-61,-179,-60,-60.5_-179.5,0
-180,-60,-179,-59,-59.5_-179.5,0
-180,-59,-179,-58,-58.5_-179.5,0
-180,-58,-179,-57,-57.5_-179.5,0
-180,-57,-179,-56,-56.5_-179.5,0
-180,-56,-179,-55,-55.5_-179.5,0
-180,-55,-179,-54,-54.5_-179.5,0
-180,-54,-179,-53,-53.5_-179.5,0
-180,-53,-179,-52,-52.5_-179.5,0
-180,-52,-179,-51,-51.5_-179.5,0
-180,-51,-179,-50,-50.5_-179.5,0
-180,-50,-179,-49,-49.5_-179.5,0
-180,-49,-179,-48,-48.5_-179.5,0
-180,-48,-179,-47,-47.5_-179.5,0
-180,-47,-179,-46,-46.5_-179.5,0
-180,-46,-179,-45,-45.5_-179.5,0
-180,-45,-179,-44,-44.5_-179.5,0
-180,-44,-179,-43,-43.5_-179.5,0
-180,-43,-179,-42,-42.5_-179.5,0
-180,-42,-179,-41,-41.5_-179.5,0
-180,-41,-179,-40,-40.5_-179.5,0
-180,-40,-179,-39,-39.5_-179.5,0
-180,-39,-179,-38,-38.5_-179.5,0
-180,-38,-179,-37,-37.5_-179.5,0
-180,-37,-179,-36,-36.5_-179.5,0
-180,-36,-179,-35,-35.5_-179.5,0
-180,-35,-179,-34,-34.5_-179.5,0
-180,-34,-179,-33,-33.5_-179.5,0
-180,-33,-179,-32,-32.5_-179.5,0
-180,-32,-179,-31,-31.5_-179.5,0
-180,-31,-179,-30,-30.5_-179.5,0
-180,-30,-179,-29,-29.5_-179.5,0
-180,-29,-179,-28,-28.5_-179.5,0
-180,-28,-179,-27,-27.5_-179.5,0
