left,top,right,bottom,GRID_CELL,biomes
-180,-20,-179,-19,-19.5_-179.5,1
-180,-19,-179,-18,-18.5_-179.5,1
-180,-18,-179,-17,-17.5_-179.5,1
-180,-17,-179,-16,-16.5_-179.5,1
-180,-16,-179,-15,-15.5_-179.5,1
-179,-31,-178,-30,-30.5_-178.5,1
-179,-21,-178,-20,-20.5_-178.5,1
-179,-20,-178,-19,-19.5_-178.5,1
-179,-19,-178,-18,-18.5_-178.5,1
-179,-18,-178,-17,-17.5_-178.5,1
-179,-15,-178,-14,-14.5_-178.5,1
-178,-30,-177,-29,-29.5_-177.5,1
-178,-15,-177,-14,-14.5_-177.5,1
-177,-23,-176,-22,-22.5_-176.5,1
-177,-14,-176,-13,-13.5_-176.5,1
-177,0,-176,1,0.5_-176.5,1
-176,-22,-175,-21,-21.5_-175.5,1
-176,-21,-175,-20,-20.5_-175.5,1
-176,-20,-175,-19,-19.5_-175.5,1
-176,-16,-175,-15,-15.5_-175.5,1
-175,-22,-174,-21,-21.5_-174.5,1
-175,-21,-174,-20,-20.5_-174.5,1
-175,-20,-174,-19,-19.5_-174.5,1
-175,-19,-174,-18,-18.5_-174.5,1
-175,-5,-174,-4,-4.5_-174.5,1
-175,-4,-174,-3,-3.5_-174.5,1
-174,-19,-173,-18,-18.5_-173.5,1
-174,-16,-173,-15,-15.5_-173.5,1
-173,-14,-172,-13,-13.5_-172.5,1
-173,-5,-172,-4,-4.5_-172.5,1
-172,-15,-171,-14,-14.5_-171.5,1
-172,-14,-171,-13,-13.5_-171.5,1
-172,-12,-171,-11,-11.5_-171.5,1
-172,-5,-171,-4,-4.5_-171.5,1
-172,-4,-171,-3,-3.5_-171.5,1
-172,-3,-171,-2,-2.5_-171.5,1
-171,-15,-170,-14,-14.5_-170.5,1
-171,-4,-170,-3,-3.5_-170.5,1
-170,-20,-169,-19,-19.5_-169.5,1
-170,-19,-169,-18,-18.5_-169.5,1
-170,-15,-169,-14,-14.5_-169.5,1
-170,16,-169,17,16.5_-169.5,1
-166,-12,-165,-11,-11.5_-165.5,1
-166,-11,-165,-10,-10.5_-165.5,1
-164,-14,-163,-13,-13.5_-163.5,1
-163,5,-162,6,5.5_-162.5,1
-162,-11,-161,-10,-10.5_-161.5,1
-162,-10,-161,-9,-9.5_-161.5,1
-161,-11,-160,-10,-10.5_-160.5,1
-161,-1,-160,0,-0.5_-160.5,1
-161,4,-160,5,4.5_-160.5,1
-160,-22,-159,-21,-21.5_-159.5,1
-160,-19,-159,-18,-18.5_-159.5,1
-160,3,-159,4,3.5_-159.5,1
-160,22,-159,23,22.5_-159.5,1
-159,-21,-158,-20,-20.5_-158.5,1
-159,-20,-158,-19,-19.5_-158.5,1
-159,-10,-158,-9,-9.5_-158.5,1
-159,-9,-158,-8,-8.5_-158.5,1
-158,-22,-157,-21,-21.5_-157.5,1
-158,-21,-157,-20,-20.5_-157.5,1
-158,-20,-157,-19,-19.5_-157.5,1
-158,-10,-157,-9,-9.5_-157.5,1
-158,-9,-157,-8,-8.5_-157.5,1
-158,1,-157,2,1.5_-157.5,1
-158,2,-157,3,2.5_-157.5,1
-156,-6,-155,-5,-5.5_-155.5,1
-156,20,-155,21,20.5_-155.5,1
-155,-22,-154,-21,-21.5_-154.5,1
-155,-17,-154,-16,-16.5_-154.5,1
-155,-16,-154,-15,-15.5_-154.5,1
-155,-5,-154,-4,-4.5_-154.5,1
-155,-4,-154,-3,-3.5_-154.5,1
-155,19,-154,20,19.5_-154.5,1
-154,-17,-153,-16,-16.5_-153.5,1
-153,-23,-152,-22,-22.5_-152.5,1
-153,-17,-152,-16,-16.5_-152.5,1
-152,-23,-151,-22,-22.5_-151.5,1
-152,-17,-151,-16,-16.5_-151.5,1
-152,-12,-151,-11,-11.5_-151.5,1
-151,-18,-150,-17,-17.5_-150.5,1
-151,-17,-150,-16,-16.5_-150.5,1
-151,-11,-150,-10,-10.5_-150.5,1
-151,-10,-150,-9,-9.5_-150.5,1
-150,-24,-149,-23,-23.5_-149.5,1
-150,-18,-149,-17,-17.5_-149.5,1
-150,-17,-149,-16,-16.5_-149.5,1
-149,-18,-148,-17,-17.5_-148.5,1
-149,-16,-148,-15,-15.5_-148.5,1
-149,-15,-148,-14,-14.5_-148.5,1
-148,-24,-147,-23,-23.5_-147.5,1
-148,-16,-147,-15,-15.5_-147.5,1
-148,-15,-147,-14,-14.5_-147.5,1
-147,-17,-146,-16,-16.5_-146.5,1
-147,-16,-146,-15,-15.5_-146.5,1
-147,-15,-146,-14,-14.5_-146.5,1
-146,-18,-145,-17,-17.5_-145.5,1
-146,-17,-145,-16,-16.5_-145.5,1
-146,-16,-145,-15,-15.5_-145.5,1
-146,-15,-145,-14,-14.5_-145.5,1
-145,-28,-144,-27,-27.5_-144.5,1
-145,-20,-144,-19,-19.5_-144.5,1
-145,-18,-144,-17,-17.5_-144.5,1
-145,-17,-144,-16,-16.5_-144.5,1
-145,-16,-144,-15,-15.5_-144.5,1
-145,-15,-144,-14,-14.5_-144.5,1
-144,-21,-143,-20,-20.5_-143.5,1
-144,-18,-143,-17,-17.5_-143.5,1
-144,-17,-143,-16,-16.5_-143.5,1
-143,-19,-142,-18,-18.5_-142.5,1
-143,-18,-142,-17,-17.5_-142.5,1
-143,-17,-142,-16,-16.5_-142.5,1
-143,-16,-142,-15,-15.5_-142.5,1
-142,-20,-141,-19,-19.5_-141.5,1
-142,-19,-141,-18,-18.5_-141.5,1
-142,-18,-141,-17,-17.5_-141.5,1
-142,-17,-141,-16,-16.5_-141.5,1
-142,-15,-141,-14,-14.5_-141.5,1
-141,-22,-140,-21,-21.5_-140.5,1
-141,-20,-140,-19,-19.5_-140.5,1
-141,-19,-140,-18,-18.5_-140.5,1
-141,-18,-140,-17,-17.5_-140.5,1
-141,-17,-140,-16,-16.5_-140.5,1
-141,-16,-140,-15,-15.5_-140.5,1
-141,-10,-140,-9,-9.5_-140.5,1
-141,-9,-140,-8,-8.5_-140.5,1
-141,-8,-140,-7,-7.5_-140.5,1
-140,-21,-139,-20,-20.5_-139.5,1
-140,-20,-139,-19,-19.5_-139.5,1
-140,-19,-139,-18,-18.5_-139.5,1
-140,-11,-139,-10,-10.5_-139.5,1
-140,-10,-139,-9,-9.5_-139.5,1
-140,-9,-139,-8,-8.5_-139.5,1
-139,-21,-138,-20,-20.5_-138.5,1
-139,-20,-138,-19,-19.5_-138.5,1
-139,-19,-138,-18,-18.5_-138.5,1
-139,-18,-138,-17,-17.5_-138.5,1
-139,-15,-138,-14,-14.5_-138.5,1
-139,-11,-138,-10,-10.5_-138.5,1
-139,-10,-138,-9,-9.5_-138.5,1
-138,-19,-137,-18,-18.5_-137.5,1
-137,-23,-136,-22,-22.5_-136.5,1
-137,-22,-136,-21,-21.5_-136.5,1
-137,-19,-136,-18,-18.5_-136.5,1
-136,-24,-135,-23,-23.5_-135.5,1
-136,-22,-135,-21,-21.5_-135.5,1
-135,-24,-134,-23,-23.5_-134.5,1
-131,-26,-130,-25,-25.5_-130.5,1
-131,-24,-130,-23,-23.5_-130.5,1
-129,-25,-128,-24,-24.5_-128.5,1
-110,-28,-109,-27,-27.5_-109.5,1
-99,20,-98,21,20.5_-98.5,1
-99,21,-98,22,21.5_-98.5,1
-99,22,-98,23,22.5_-98.5,1
-99,23,-98,24,23.5_-98.5,1
-98,20,-97,21,20.5_-97.5,1
-98,21,-97,22,21.5_-97.5,1
-98,23,-97,24,23.5_-97.5,1
-97,18,-96,19,18.5_-96.5,1
-97,20,-96,21,20.5_-96.5,1
-96,17,-95,18,17.5_-95.5,1
-96,18,-95,19,18.5_-95.5,1
