species,nseqs,RangeSize_km2,RangeSize_percentile
Hyloscirtus_tapichalaca,2,4.742500842,perc_10
Pseudoeurycea_saltator,2,5.897493617,perc_10
Hyloxalus_chlorocraspedus,4,9.688754325,perc_10
Bolitoglossa_mombachoensis,2,9.78200788,perc_10
Bolitoglossa_carri,2,11.98748145,perc_10
Pseudoeurycea_mystax,2,12.65729917,perc_10
Hyloxalus_pulcherrimus,2,12.77676539,perc_10
Hypsiboas_ericae,2,12.77909596,perc_10
Allobates_nidicola,3,13.53092315,perc_10
Hypsiboas_cordobae,3,16.441597,perc_10
Phytotriades_auratus,8,18.06486099,perc_10
Eleutherodactylus_orientalis,26,18.19430873,perc_10
Eleutherodactylus_tonyi,10,19.2685384,perc_10
Hynobius_amjiensis,2,25.56643125,perc_10
Eurycea_sosorum,3,25.9151628,perc_10
Heterixalus_tricolor,4,26.63218369,perc_10
Craugastor_tabasarae,3,28.06192961,perc_10
Eleutherodactylus_jaumei,17,37.77436571,perc_10
Pseudoeurycea_unguidentis,2,41.45963159,perc_10
Eupsophus_insularis,2,53.04039873,perc_10
Staurois_parvus,3,54.30738918,perc_10
Cryptotriton_veraepacis,6,62.19869471,perc_10
Eupsophus_migueli,2,66.33197858,perc_10
Andinobates_claudiae,6,69.39947476,perc_10
Phrynobatrachus_dispar,8,70.0021911,perc_10
Bolitoglossa_zapoteca,2,77.08537606,perc_10
Bolitoglossa_gracilis,2,83.56752191,perc_10
Eleutherodactylus_iberia,95,84.30769695,perc_10
Nototriton_lignicola,3,85.84603884,perc_10
Phyllomedusa_ayeaye,4,90.17865391,perc_10
Nototriton_limnospectator,2,94.59637216,perc_10
Oedipina_gephyra,2,110.8327712,perc_10
Insuetophrynus_acarpicus,7,121.7912946,perc_10
Eleutherodactylus_cubanus,11,125.7087343,perc_10
Pseudoeurycea_juarezi,2,136.2576832,perc_10
Anomaloglossus_roraima,3,145.0230888,
Eleutherodactylus_cooki,2,173.1651186,
Aromobates_nocturnus,2,185.7960786,
Anomaloglossus_praderioi,2,206.0215546,
Nototriton_richardi,3,241.4145345,
Eurycea_tridentifera,3,244.1312619,
Plethodon_shenandoah,28,244.5484771,
Nototriton_picadoi,2,251.8280394,
Boulengerula_taitana,3,309.06576,
Eleutherodactylus_etheridgei,7,352.6545865,
Phyllomedusa_itacolomi,2,364.5561201,
Phyllomedusa_oreades,4,389.8767434,
Plethodon_amplus,2,411.6943298,
Paramesotriton_guanxiensis,8,446.4575223,
Oedipina_poelzi,4,477.2598893,
Pseudoeurycea_lineola,4,504.4356532,
Ameerega_smaragdina,2,554.0283701,
Fejervarya_iskandari,4,600.0404226,
Xenopus_gilli,2,606.6414256,
Speleomantes_supramontis,6,615.2928558,
