species,nseqs,RangeSize_km2,RangeSize_percentile
Cryptotis_nelsoni,5,26.78584825,perc_10
Cheirogaleus_sibreei,10,40.52784509,perc_10
Pteropus_rodricensis,2,110.9313726,perc_10
Lagostrophus_fasciatus,2,137.0246002,perc_10
Lepilemur_septentrionalis,5,141.5534446,perc_10
Ctenomys_coyhaiquensis,2,227.196553,perc_10
Tamias_palmeri,2,303.9618554,perc_10
Praomys_mutoni,17,312.4873374,perc_10
Microtus_abbreviatus,13,329.1112096,perc_10
Microcebus_berthae,10,546.4426408,perc_10
Nesoryzomys_swarthi,2,573.6795875,perc_10
Pipanacoctomys_aureus,12,602.7927103,perc_10
Pteropus_livingstonii,11,635.5780474,perc_10
Mus_fragilicauda,2,637.8440818,perc_10
Cryptotis_peregrina,3,684.6292835,perc_10
Microcebus_sambiranensis,12,691.1595,perc_10
Pteropus_voeltzkowi,2,908.5315005,perc_10
Chodsigoa_caovansunga,2,980.1903446,perc_10
Cheirogaleus_crossleyi,27,1307.16827,perc_10
Praomys_morio,11,1343.913373,perc_10
Euroscaptor_parvidens,7,1392.124557,perc_10
Lepilemur_ankaranensis,21,1434.962314,perc_10
Chinchilla_lanigera,3,2070.283661,perc_10
Macaca_pagensis,11,2140.852729,perc_10
Leopoldamys_neilli,7,2141.719719,perc_10
Hipposideros_coxi,3,2201.811377,perc_10
Myrmecobius_fasciatus,2,2502.512908,perc_10
Microcebus_rufus,28,2607.396838,perc_10
Praomys_minor,9,2681.026983,perc_10
Pteropus_seychellensis,31,2730.912581,perc_10
Avahi_occidentalis,4,3056.537815,perc_10
Uropsilus_investigator,2,3191.852678,perc_10
Petaurus_gracilis,2,3309.36602,perc_10
Microcebus_ravelobensis,13,3339.874038,perc_10
Plecotus_teneriffae,5,3405.065502,perc_10
Macaca_siberu,7,3863.627064,perc_10
Crocidura_wuchihensis,2,3884.888857,perc_10
Microcebus_tavaratra,12,4133.911776,perc_10
Ardops_nichollsi,2,4742.707844,perc_10
Pipistrellus_maderensis,15,4798.141112,perc_10
Isthmomys_pirrensis,2,5206.19708,perc_10
Triaenops_auritus,24,5254.399419,perc_10
Suncus_montanus,12,5369.614713,perc_10
Leopoldamys_milleti,3,5654.280568,perc_10
Cryptotis_phillipsii,4,5969.603468,perc_10
Dendrolagus_lumholtzi,3,7382.864107,perc_10
Tympanoctomys_barrerae,8,7481.521891,perc_10
Ctenomys_dorbignyi,2,8814.848435,perc_10
Tamias_alpinus,4,8864.186956,perc_10
