GridCell_Id,species,PiHat,RangeSize_km2,RangeSize_percentile,nseqs
1556,Hyloscirtus_tapichalaca,0,4.74,perc_10,2
2182,Pseudoeurycea_saltator,0,5.9,perc_10,2
1467,Hyloxalus_chlorocraspedus,0,9.69,perc_10,4
2004,Bolitoglossa_mombachoensis,0,9.78,perc_10,2
2094,Bolitoglossa_carri,0,11.99,perc_10,2
2181,Pseudoeurycea_mystax,0.003514938,12.66,perc_10,2
1294,Hypsiboas_ericae,0,12.78,perc_10,2
1466,Hyloxalus_pulcherrimus,0.002597403,12.78,perc_10,2
1470,Allobates_nidicola,0,13.53,perc_10,3
749,Hypsiboas_cordobae,0.006926407,16.44,perc_10,3
2010,Phytotriades_auratus,0.000641026,18.06,perc_10,8
2277,Eleutherodactylus_orientalis,0.071510317,18.19,perc_10,26
2276,Eleutherodactylus_tonyi,0.00931798,19.27,perc_10,6
2277,Eleutherodactylus_tonyi,0.001950585,19.27,perc_10,4
2596,Hynobius_amjiensis,0.002659574,25.57,perc_10,2
2541,Eurycea_sosorum,0.019927536,25.92,perc_10,3
1227,Heterixalus_tricolor,0.00122549,26.63,perc_10,2
1318,Heterixalus_tricolor,0,26.63,perc_10,2
1915,Craugastor_tabasarae,0.153127918,28.06,perc_10,3
2276,Eleutherodactylus_jaumei,0.011996964,37.77,perc_10,17
2182,Pseudoeurycea_unguidentis,0.005272408,41.46,perc_10,2
657,Eupsophus_insularis,0,53.04,perc_10,2
1875,Staurois_parvus,0.008004574,54.31,perc_10,3
2093,Cryptotriton_veraepacis,0.002770563,62.2,perc_10,6
567,Eupsophus_migueli,0,66.33,perc_10,2
2005,Andinobates_claudiae,0.004197235,69.4,perc_10,6
1757,Phrynobatrachus_dispar,0.009664948,70,perc_10,8
2181,Bolitoglossa_zapoteca,0,77.09,perc_10,2
2005,Bolitoglossa_gracilis,0.004636785,83.57,perc_10,2
2277,Eleutherodactylus_iberia,0.022438026,84.31,perc_10,95
2094,Nototriton_lignicola,0.013852814,85.85,perc_10,3
1024,Phyllomedusa_ayeaye,0.001116071,90.18,perc_10,2
1114,Phyllomedusa_ayeaye,0.005194805,90.18,perc_10,2
2094,Nototriton_limnospectator,0.01897019,94.6,perc_10,2
2094,Oedipina_gephyra,0,110.83,perc_10,2
567,Insuetophrynus_acarpicus,0.009482805,121.79,perc_10,7
2276,Eleutherodactylus_cubanus,0.001613548,125.71,perc_10,11
2182,Pseudoeurycea_juarezi,0,136.26,perc_10,2
1831,Anomaloglossus_roraima,0.003463203,145.02,,3
2451,Eleutherodactylus_cooki,0,173.17,,2
2008,Aromobates_nocturnus,0,185.8,,2
1831,Anomaloglossus_praderioi,0,206.02,,2
2004,Nototriton_richardi,0,241.41,,3
2541,Eurycea_tridentifera,0,244.13,,3
2726,Plethodon_shenandoah,0.000755879,244.55,,19
2898,Plethodon_shenandoah,0,244.55,,9
2005,Nototriton_picadoi,0.002597403,251.83,,2
1585,Boulengerula_taitana,0.013748567,309.07,,3
2277,Eleutherodactylus_etheridgei,0.001281995,352.65,,7
1115,Phyllomedusa_itacolomi,0,364.56,,2
1203,Phyllomedusa_oreades,0.005027102,389.88,,4
2725,Plethodon_amplus,0.007961783,411.69,,2
2413,Paramesotriton_guanxiensis,0,446.46,,8
2004,Oedipina_poelzi,0.034199134,477.26,,4
2272,Pseudoeurycea_lineola,0.007029877,504.44,,4
1377,Ameerega_smaragdina,0.008830022,554.03,,2
1512,Fejervarya_iskandari,0.001692047,600.04,,2
1513,Fejervarya_iskandari,0.002886003,600.04,,2
770,Xenopus_gilli,0,606.64,,2
2928,Speleomantes_supramontis,0.001684995,615.29,,6
2928,Speleomantes_flavus,0,615.83,,3
2929,Speleomantes_flavus,0.000884173,615.83,,3
1137,Scaphiophryne_gottlebei,0.001256759,617.97,,102
2507,Babina_holsti,0.020737327,618.49,,4
2508,Babina_holsti,0.004214252,618.49,,24
2367,Eleutherodactylus_rogersi,0.000653038,680.66,,4
2456,Eleutherodactylus_rogersi,0.002604167,680.66,,2
2632,Plethodon_caddoensis,0.091051805,754.29,,2
2365,Eleutherodactylus_casparii,0.000927913,757.92,,3
2005,Bolitoglossa_pesrubra,0.017405852,777.41,,8
1555,Hyloxalus_sylvaticus,0,785.78,,2
1318,Mantella_viridis,0.007013653,800.61,,179
2541,Eurycea_tonkawae,0.02251318,820.13,,5
1495,Boulengerula_uluguruensis,0.007861748,852.57,,5
1757,Phrynobatrachus_leveleve,0.00422394,858.66,,9
1585,Probreviceps_macrodactylus,0,864.45,,3
2364,Eleutherodactylus_guanahacabibes,0.021311367,891.2,,5
2365,Eleutherodactylus_guanahacabibes,0.001319261,891.2,,2
2004,Nototriton_abscondens,0.004675325,902.96,,5
2593,Bombina_lichuanensis,0,905.56,,2
1783,Meristogenys_jerboa,0,924.81,,2
2093,Bolitoglossa_celaque,0.001666667,970.38,,2
2635,Plethodon_shermani,0.060400616,999.32,,5
1137,Mantella_expectata,0.00203164,1096.96,,148
2632,Plethodon_ouachitae,0.020715261,1154.12,,4
2010,Mannophryne_trinitatis,0.004783087,1200.86,,27
2010,Mannophryne_venezuelensis,0.000865045,1269.13,,4
2725,Plethodon_nettingi,0,1285.84,,2
1047,Gephyromantis_enki,0.002066116,1289.14,,2
1228,Gephyromantis_webbi,0.068825911,1533.16,,2
2004,Bolitoglossa_subpalmata,0.019591466,1649.28,,4
1470,Allobates_caeruleodactylus,0.002597403,1762.67,,4
2416,Rana_sauteri,0.014197063,1776.46,,415
2591,Batrachuperus_londongensis,0.015789959,1848.94,,13
957,Mantella_haraldmeieri,0.002503468,1976.33,,6
1138,Gephyromantis_eiselti,0.001434007,1993.95,,3
2507,Cynops_ensicauda,0.007829389,2039.51,,21
2508,Cynops_ensicauda,0.028491474,2039.51,,19
2835,Rana_pyrenaica,0,2131.67,,3
1556,Hyloxalus_idiomelus,0.003116883,2150.42,,5
2927,Atylodes_genei,0,2152.32,,2
2928,Atylodes_genei,0.033798667,2152.32,,3
2183,Bolitoglossa_rostrata,0.014218009,2186.11,,2
2507,Echinotriton_andersoni,0.005858231,2284.91,,3
2508,Echinotriton_andersoni,0,2284.91,,2
1466,Ranitomeya_variabilis,0.051476793,2287.97,,5
1467,Ranitomeya_variabilis,0.084388186,2287.97,,2
1556,Ranitomeya_variabilis,0.06558395,2287.97,,5
