GridCell_Id,species,PiHat,RangeSize_km2,RangeSize_percentile,nseqs
2236,Apomys_abrae,0.02275032,11591.27,perc_10,11
2236,Apomys_datae,0.030838838,11591.27,perc_10,14
2190,Ardops_nichollsi,0.008264463,4742.71,perc_10,2
1227,Avahi_occidentalis,0.010672515,3056.54,perc_10,4
1318,Cheirogaleus_crossleyi,0.009227949,1307.17,perc_10,11
1137,Cheirogaleus_crossleyi,0.020676692,1307.17,perc_10,8
1047,Cheirogaleus_crossleyi,0.028759398,1307.17,perc_10,8
1137,Cheirogaleus_sibreei,0.000467836,40.53,perc_10,10
748,Chinchilla_lanigera,0.018661355,2070.28,perc_10,3
2412,Chodsigoa_caovansunga,0.001754386,980.19,perc_10,2
2848,Crocidura_caspica,0.003571429,12829.2,perc_10,2
2412,Crocidura_wuchihensis,0.00877193,3884.89,perc_10,2
2181,Cryptotis_magna,0.007602339,14384.93,perc_10,3
2272,Cryptotis_nelsoni,0.01377193,26.79,perc_10,5
2181,Cryptotis_peregrina,0.007602339,684.63,perc_10,3
2181,Cryptotis_phillipsii,0.012134503,5969.6,perc_10,4
478,Ctenomys_coyhaiquensis,0.000877193,227.2,perc_10,2
931,Ctenomys_dorbignyi,0,8814.85,perc_10,2
751,Ctenomys_pearsoni,0.014534884,11534.9,perc_10,4
1252,Dendrolagus_lumholtzi,0.003100775,7382.86,perc_10,3
2541,Dipodomys_elator,0.00297619,10768,perc_10,2
2416,Episoriculus_fumidus,0.022222222,12808.87,perc_10,3
1466,Eremoryzomys_polius,0.00090009,14289.81,perc_10,2
2142,Euroscaptor_parvidens,0.001830047,1392.12,perc_10,3
2232,Euroscaptor_parvidens,0.005933848,1392.12,perc_10,4
2563,Gerbillus_occiduus,0.004530557,11611.13,perc_10,14
2472,Gerbillus_occiduus,0.011988304,11611.13,perc_10,4
1783,Hipposideros_coxi,0,2201.81,perc_10,3
1916,Isthmomys_pirrensis,0.001754386,5206.2,perc_10,2
974,Lagostrophus_fasciatus,0,137.02,perc_10,2
2052,Leopoldamys_milleti,0.001238007,5654.28,perc_10,3
2232,Leopoldamys_neilli,0.005847953,2141.72,perc_10,3
2231,Leopoldamys_neilli,0.01551678,2141.72,perc_10,4
1318,Lepilemur_ankaranensis,0.00245958,1434.96,perc_10,21
1318,Lepilemur_dorsalis,0.000379327,9548.76,perc_10,11
1137,Lepilemur_edwardsi,0,9063.45,perc_10,2
1227,Lepilemur_edwardsi,0.003787879,9063.45,perc_10,4
1318,Lepilemur_septentrionalis,0.009122807,141.55,perc_10,5
1690,Macaca_pagensis,0.003527337,2140.85,perc_10,3
1691,Macaca_pagensis,0.004535147,2140.85,perc_10,8
1690,Macaca_siberu,0.002351558,3863.63,perc_10,7
1136,Microcebus_berthae,0.000623782,546.44,perc_10,10
1227,Microcebus_ravelobensis,0.001584274,3339.87,perc_10,13
1138,Microcebus_rufus,0,2607.4,perc_10,2
1047,Microcebus_rufus,0.003848853,2607.4,perc_10,26
1227,Microcebus_sambiranensis,0,691.16,perc_10,9
1318,Microcebus_sambiranensis,0.035672515,691.16,perc_10,3
1318,Microcebus_tavaratra,0.002680014,4133.91,perc_10,12
3152,Microtus_abbreviatus,0.00074699,329.11,perc_10,13
1495,Mus_callewaerti,0,13917.77,perc_10,2
2232,Mus_fragilicauda,0,637.84,perc_10,2
2871,Myodes_rex,0,9587.98,perc_10,2
2961,Myodes_rex,0.005701754,9587.98,perc_10,8
795,Myrmecobius_fasciatus,0,2502.51,perc_10,2
1643,Nesoryzomys_swarthi,0.000904977,573.68,perc_10,2
1556,Oreoryzomys_balneator,0.000962464,11449.71,perc_10,2
1252,Petaurus_gracilis,0.012658228,3309.37,perc_10,2
929,Pipanacoctomys_aureus,0.016682664,602.79,perc_10,12
2651,Pipistrellus_maderensis,0.000851517,4798.14,perc_10,5
2472,Pipistrellus_maderensis,0.006817691,4798.14,perc_10,10
2278,Plagiodontia_aedium,0.001578947,10576.78,perc_10,5
2187,Plagiodontia_aedium,0.015497076,10576.78,perc_10,9
2471,Plecotus_teneriffae,0.001956947,3405.07,perc_10,2
2561,Plecotus_teneriffae,0.011741683,3405.07,perc_10,3
1762,Praomys_minor,0.007504784,2681.03,perc_10,9
1848,Praomys_morio,0.00610527,1343.91,perc_10,11
1762,Praomys_mutoni,0.004537448,312.49,perc_10,15
1671,Praomys_mutoni,0.008053691,312.49,perc_10,2
1317,Pteropus_livingstonii,0.001133328,635.58,perc_10,11
2545,Pteropus_rodricensis,0.000890472,110.93,perc_10,2
1316,Pteropus_seychellensis,0.000850984,2730.91,perc_10,10
1317,Pteropus_seychellensis,0.001351404,2730.91,perc_10,10
1406,Pteropus_seychellensis,0.001399878,2730.91,perc_10,9
1589,Pteropus_seychellensis,0.002973241,2730.91,perc_10,2
1585,Pteropus_voeltzkowi,0.006835938,908.53,perc_10,2
1956,Suncus_montanus,0.003960659,5369.61,perc_10,12
2716,Tamias_alpinus,0.018364992,8864.19,perc_10,4
2626,Tamias_obscurus,0.00178731,13472.21,perc_10,3
2717,Tamias_palmeri,0.003311258,303.96,perc_10,2
1318,Triaenops_auritus,0.000921974,5254.4,perc_10,24
839,Tympanoctomys_barrerae,0.004524887,7481.52,perc_10,2
658,Tympanoctomys_barrerae,0.017848165,7481.52,perc_10,4
748,Tympanoctomys_barrerae,0.02413273,7481.52,perc_10,2
2500,Uropsilus_investigator,0.002631579,3191.85,perc_10,2
3121,Apodemus_agrarius,0.002096436,11531230.92,perc_90,2
2777,Apodemus_agrarius,0.005263158,11531230.92,perc_90,2
2959,Apodemus_agrarius,0.009562667,11531230.92,perc_90,23
3049,Apodemus_agrarius,0.011100833,11531230.92,perc_90,3
1736,Artibeus_gnomus,0.049122807,10007748.65,perc_90,2
1736,Artibeus_lituratus,0.007017544,14234438.81,perc_90,2
1645,Artibeus_lituratus,0.010806318,14234438.81,perc_90,4
2100,Artibeus_lituratus,0.014719634,14234438.81,perc_90,7
2811,Canis_latrans,0,17097659.69,perc_90,2
2719,Canis_latrans,0.000877193,17097659.69,perc_90,3
2716,Canis_latrans,0.006784696,17097659.69,perc_90,44
2777,Capreolus_pygargus,0.001169591,11997231.43,perc_90,3
2778,Capreolus_pygargus,0.006140351,11997231.43,perc_90,2
2687,Capreolus_pygargus,0.050803064,11997231.43,perc_90,8
1646,Carollia_perspicillata,0.002493766,13795814.51,perc_90,2
1736,Carollia_perspicillata,0.009975062,13795814.51,perc_90,3
1645,Carollia_perspicillata,0.157107232,13795814.51,perc_90,2
3202,Castor_canadensis,0,15418841.95,perc_90,4
1941,Crocidura_olivieri,0,15835100.11,perc_90,2
1934,Crocidura_olivieri,0.004975124,15835100.11,perc_90,2
2937,Crocidura_suaveolens,0,12641320.79,perc_90,2
3020,Crocidura_suaveolens,0,12641320.79,perc_90,2
3025,Crocidura_suaveolens,0,12641320.79,perc_90,2
3115,Crocidura_suaveolens,0,12641320.79,perc_90,2
2416,Crocidura_suaveolens,0.002487562,12641320.79,perc_90,2
2752,Crocidura_suaveolens,0.003267974,12641320.79,perc_90,2
2662,Crocidura_suaveolens,0.019736842,12641320.79,perc_90,3
2935,Crocidura_suaveolens,0.084805654,12641320.79,perc_90,2
3016,Crocuta_crocuta,0,14470665.73,perc_90,2
1584,Crocuta_crocuta,0.016393443,14470665.73,perc_90,3
3019,Crocuta_crocuta,0.018214936,14470665.73,perc_90,3
2124,Crocuta_crocuta,0.030054645,14470665.73,perc_90,2
1313,Eidolon_helvum,0.004862155,11802621.59,perc_90,15
1671,Eidolon_helvum,0.009571788,11802621.59,perc_90,5
1848,Eidolon_helvum,0.010901086,11802621.59,perc_90,35
1757,Eidolon_helvum,0.011754828,11802621.59,perc_90,3
1758,Eidolon_helvum,0.017632242,11802621.59,perc_90,2
3044,Eptesicus_nilssonii,0,10418707.42,perc_90,2
3111,Eptesicus_nilssonii,0,10418707.42,perc_90,2
3129,Eptesicus_nilssonii,0.001612903,10418707.42,perc_90,2
2938,Eptesicus_serotinus,0.00268875,12116735.53,perc_90,5
2907,Eptesicus_serotinus,0.004136069,12116735.53,perc_90,3
2119,Gazella_dorcas,0,9903818.74,perc_90,2
