Binomial,Anthrome,PiHat
'Batrachoseps_attenuatus',1,0.033517957
'Bufo_japonicus',1,0.05171064
'Cynops_pyrrhogaster',1,0.063102542
'Discoglossus_pictus',1,0.032986111
'Eleutherodactylus_coqui',1,0.029278879
'Ensatina_eschscholtzii',1,0.076040973
'Hyla_chrysoscelis',1,0.007874016
'Hyla_japonica',1,0.012265512
'Hyla_orientalis',1,0
'Hyla_versicolor',1,0.001555698
'Hynobius_tokyoensis',1,0.008764242
'Leptodactylus_albilabris',1,0.010173335
'Ommatotriton_ophryticus',1,0.021775544
'Onychodactylus_japonicus',1,0.05265724
'Phyllomedusa_tetraploidea',1,0
'Proceratophrys_boiei',1,0.018770816
'Rana_dalmatina',1,0
'Andrias_davidianus',2,0.009921666
'Atylodes_genei',2,0
'Batrachuperus_pinchonii',2,0.001344086
'Batrachuperus_tibetanus',2,0
'Bolitoglossa_morio',2,0.064695009
'Bolitoglossa_rostrata',2,0.014218009
'Bombina_bombina',2,0.001013788
'Bombina_lichuanensis',2,0
'Bombina_variegata',2,0.031090328
'Bufo_japonicus',2,0.02318358
'Cynops_pyrrhogaster',2,0.009688471
'Euphlyctis_cyanophlyctis',2,0.057722616
'Fejervarya_iskandari',2,0.001327024
'Fejervarya_limnocharis',2,0.00549851
'Haddadus_binotatus',2,0.002610966
'Hoplobatrachus_crassus',2,0.008865248
'Hoplobatrachus_rugulosus',2,0.004512084
'Hoplobatrachus_tigerinus',2,0.011378814
'Hyla_arborea',2,0.001818786
'Hyla_orientalis',2,0.005535055
'Hylarana_latouchii',2,0.036951089
'Hynobius_amjiensis',2,0.002659574
'Hynobius_leechii',2,0.001037278
'Hynobius_lichenatus',2,0.003787405
'Hynobius_tokyoensis',2,0.026918743
'Hynobius_yiwuensis',2,0.028368794
'Ichthyophis_glutinosus',2,0.008613118
'Microhyla_fissipes',2,0.047694754
'Onychodactylus_japonicus',2,0.040899796
'Pachyhynobius_shangchengensis',2,0.000876424
'Paramesotriton_caudopunctatus',2,0
'Paramesotriton_chinensis',2,0
'Paramesotriton_fuzhongensis',2,0
'Paramesotriton_guanxiensis',2,0
'Paramesotriton_hongkongensis',2,0
'Pelobates_fuscus',2,0
'Pelophylax_nigromaculatus',2,0.015365584
'Pelophylax_plancyi',2,0.019807948
'Polypedates_leucomystax',2,0
'Proceratophrys_boiei',2,0.005607048
'Pseudoeurycea_leprosa',2,0.003950617
'Quasipaa_boulengeri',2,0
'Rana_dalmatina',2,0.005824916
'Rana_japonica',2,0.002192982
'Rana_sauteri',2,0.013690901
'Rana_temporaria',2,0.012846082
'Salamandra_salamandra',2,0
'Salamandrina_perspicillata',2,0.000127502
'Speleomantes_italicus',2,0
'Speleomantes_supramontis',2,0.001684995
'Zakerana_kirtisinghei',2,0.00154321
'Zakerana_rufescens',2,0.003663004
'Adenomera_andreae',3,0.063565891
'Agalychnis_granulosa',3,0.012121212
'Alytes_obstetricans',3,0.012419279
'Ambystoma_barbouri',3,0.024221192
'Ambystoma_texanum',3,0
'Amphiuma_tridactylum',3,0
'Anotheca_spinosa',3,0.007792208
'Atylodes_genei',3,0
'Batrachoseps_attenuatus',3,0.05591897
'Batrachuperus_londongensis',3,0.002274679
'Batrachuperus_pinchonii',3,0.005595685
'Batrachuperus_tibetanus',3,0.027680498
'Bolitoglossa_carri',3,0
'Bolitoglossa_celaque',3,0.001666667
'Bolitoglossa_macrinii',3,0.030911901
'Bolitoglossa_mexicana',3,0.027820711
'Bolitoglossa_zapoteca',3,0
'Bombina_bombina',3,0.003910262
'Bombina_variegata',3,0.038745323
'Calotriton_asper',3,0.001761858
'Chioglossa_lusitanica',3,0
'Cryptotriton_veraepacis',3,0.002770563
'Dendropsophus_branneri',3,0.005936819
'Discoglossus_galganoi',3,0.003623429
'Discoglossus_jeanneae',3,0.000399836
'Discoglossus_pictus',3,0.028645833
'Eleutherodactylus_atkinsi',3,0.012168006
'Eleutherodactylus_cubanus',3,0.001613548
'Eleutherodactylus_etheridgei',3,0.001281995
'Eleutherodactylus_guanahacabibes',3,0.02550749
'Eleutherodactylus_iberia',3,0.022438026
'Eleutherodactylus_jaumei',3,0.011996964
'Eleutherodactylus_orientalis',3,0.071712582
'Eleutherodactylus_planirostris',3,0.038855107
'Eleutherodactylus_tonyi',3,0.015131562
'Eleutherodactylus_varleyi',3,0.010463378
'Ensatina_eschscholtzii',3,0.076396803
'Epipedobates_machalilla',3,0.002597403
'Eurycea_longicauda',3,0.064857145
'Eurycea_lucifuga',3,0.019359714
'Eurycea_sosorum',3,0.019927536
'Fejervarya_limnocharis',3,0.007970778
'Gephyromantis_boulengeri',3,0.005198181
'Gephyromantis_leucocephalus',3,0.001299624
'Guibemantis_liber',3,0.003616637
