Binomial,Anthrome,PiHat
'Aplodontia_rufa',1,0.024317805
'Apodemus_speciosus',1,0.010313564
'Brachyphylla_cavernarum',1,0.000367309
'Calomys_musculinus',1,0.000714286
'Cavia_aperea',1,0.009385806
'Cephalophus_dorsalis',1,0.012970169
'Cephalophus_silvicultor',1,0
'Corynorhinus_rafinesquii',1,0.01019368
'Crocidura_dsinezumi',1,0
'Crocidura_shantungensis',1,0
'Geomys_pinetis',1,0.013303769
'Giraffa_camelopardalis',1,0
'Glaucomys_sabrinus',1,0.002116402
'Glaucomys_volans',1,0.002406603
'Glirulus_japonicus',1,0.041873964
'Lepus_brachyurus',1,0.005440188
'Loxodonta_africana',1,0
'Martes_melampus',1,0.002339181
'Meles_anakuma',1,0
'Micromys_minutus',1,0
'Microtus_californicus',1,0.00236133
'Mogera_wogura',1,0.002631579
'Monodelphis_theresa',1,0.024939286
'Neotoma_fuscipes',1,0.067495647
'Oryzomys_palustris',1,0.00877193
'Perognathus_longimembris',1,0.017283951
'Peromyscus_californicus',1,0.005263158
'Peromyscus_polionotus',1,0.005140212
'Petaurus_norfolcensis',1,0.005923738
'Philantomba_maxwellii',1,0.009823183
'Procyon_lotor',1,0.013172399
'Pteronotus_parnellii',1,0.003508772
'Pteropus_poliocephalus',1,0.003647677
'Pteropus_rodricensis',1,0.000890472
'Pteropus_voeltzkowi',1,0.006835938
'Rattus_rattus',1,0.007567437
'Rhinolophus_hipposideros',1,0.000451264
'Rhinolophus_pusillus',1,0.007017544
'Sciurus_lis',1,0.004093567
'Sigmodon_hispidus',1,0.001754386
'Sorex_ornatus',1,0.021108179
'Sylvicapra_grimmia',1,0.015564202
'Talpa_occidentalis',1,0.00651012
'Vulpes_vulpes',1,0.004952257
'Anourosorex_yamashinai',2,0.005847953
'Apodemus_argenteus',2,0.004975124
'Apodemus_flavicollis',2,0.035173106
'Apodemus_speciosus',2,0.001658375
'Apodemus_sylvaticus',2,0.017070275
'Apomys_abrae',2,0.000898473
'Artibeus_jamaicensis',2,0.003508772
'Aselliscus_stoliczkanus',2,0.043567251
'Blarinella_griselda',2,0.00877193
'Budorcas_taxicolor',2,0.012285012
'Callosciurus_erythraeus',2,0.012865497
'Capricornis_sumatraensis',2,0.003205128
'Chimarrogale_himalayica',2,0.067672676
'Chodsigoa_parca',2,0.039327485
'Crocidura_attenuata',2,0.008291874
'Crocidura_leucodon',2,0.001320132
'Crocidura_rapax',2,0.00662103
'Crocidura_suaveolens',2,0.002487562
'Crocidura_tanakae',2,0.005897112
'Eliomys_quercinus',2,0.028453171
'Episoriculus_caudatus',2,0.033918129
'Episoriculus_fumidus',2,0.022222222
'Episoriculus_leucops',2,0.005116959
'Episoriculus_macrurus',2,0.062280702
'Eupetaurus_cinereus',2,0
