Binomial,Anthrome,PiHat
'Blarina_brevicauda',1,0.006251878
'Conepatus_chinga',1,0.012158055
'Eptesicus_fuscus',1,0.001927647
'Galictis_cuja',1,0.005347594
'Lasiurus_borealis',1,0.100810537
'Lasiurus_intermedius',1,0.002525463
'Lasiurus_seminolus',1,0.003067485
'Meles_anakuma',1,0
'Microtus_pennsylvanicus',1,0.00083022
'Myotis_austroriparius',1,0.003039514
'Nycticeius_humeralis',1,0.001519757
'Peromyscus_leucopus',1,0.000819576
'Procyon_lotor',1,0.00410722
'Rattus_rattus',1,0.004890632
'Sciurus_carolinensis',1,0
'Sorex_cinereus',1,0.008530561
'Sorex_fumeus',1,0.00211107
'Sorex_hoyi',1,0.011170354
'Sorex_tundrensis',1,0.005774294
'Tadarida_brasiliensis',1,0.004448592
'Tamias_striatus',1,0
'Anourosorex_squamipes',2,0.007138508
'Apodemus_agrarius',2,0.0073385
'Apodemus_chevrieri',2,0.023663387
'Apodemus_latronum',2,0.005649718
'Apodemus_peninsulae',2,0.007244952
'Artibeus_jamaicensis',2,0.00365533
'Artibeus_phaeotis',2,0
'Artibeus_toltecus',2,0.002500749
'Aselliscus_stoliczkanus',2,0.148380355
'Bandicota_indica',2,0.004143757
'Blarinella_griselda',2,0.013536379
'Carollia_subrufa',2,0.002125487
'Centurio_senex',2,0.01033617
'Chaerephon_pumilus',2,0.001014713
'Chimarrogale_himalayica',2,0
'Chodsigoa_parca',2,0.036097011
'Cricetus_cricetus',2,0
'Cynopterus_brachyotis',2,0.007037495
'Cynopterus_sphinx',2,0.011410833
'Cynopterus_titthaecheilus',2,0
'Eidolon_helvum',2,0.007635718
'Eothenomys_melanogaster',2,0.054754275
'Episoriculus_caudatus',2,0.025493514
'Episoriculus_leucops',2,0.001692047
'Episoriculus_macrurus',2,0.088324873
'Epomophorus_labiatus',2,0.019817073
'Glossophaga_commissarisi',2,0.010704668
'Habromys_lophurus',2,0.005708484
'Handleyomys_melanotis',2,0.00152207
'Harpiocephalus_harpia',2,0.0048
'Heteromys_desmarestianus',2,0.001645887
'Hipposideros_armiger',2,0.009801657
'Hipposideros_lylei',2,0.002375297
'Hipposideros_pomona',2,0.029672231
'Hipposideros_pratti',2,0.01309329
'Hipposideros_ruber',2,0.00152207
'Hydropotes_inermis',2,0.004559271
'Ia_io',2,0.015337423
'Lasiurus_blossevillii',2,0.00152207
'Leopardus_pardalis',2,0
'Leopoldamys_milleti',2,0.003123475
'Liomys_salvini',2,0.002130898
'Macroglossus_minimus',2,0.003045534
'Macroglossus_sobrinus',2,0.004491989
'Manis_pentadactyla',2,0.001666667
'Maxomys_bartelsii',2,0
'Maxomys_moi',2,0
'Megaerops_niphanae',2,0.005196489
