BINOMIAL,GridCell_Id,num_seqs,GrainSize,Type
'Adelophryne_gutturosa',29998,1,96.5,A
'Adelphobates_castaneoticus',26045,1,96.5,A
'Adenomera_andreae',19549,1,96.5,A
'Adenomera_andreae',21346,1,96.5,A
'Adenomera_andreae',21706,1,96.5,A
'Adenomera_andreae',22076,1,96.5,A
'Adenomera_andreae',22440,1,96.5,A
'Adenomera_andreae',22799,1,96.5,A
'Adenomera_andreae',22803,1,96.5,A
'Adenomera_andreae',23147,1,96.5,A
'Adenomera_andreae',23149,1,96.5,A
'Adenomera_andreae',23162,1,96.5,A
'Adenomera_andreae',23524,1,96.5,A
'Adenomera_andreae',23866,1,96.5,A
'Adenomera_andreae',23869,1,96.5,A
'Adenomera_andreae',23882,1,96.5,A
'Adenomera_andreae',24606,1,96.5,A
'Adenomera_andreae',25301,1,96.5,A
'Adenomera_andreae',25310,1,96.5,A
'Adenomera_andreae',25688,1,96.5,A
'Adenomera_andreae',26762,1,96.5,A
'Adenomera_andreae',26763,1,96.5,A
'Adenomera_andreae',27469,1,96.5,A
'Adenomera_andreae',27471,1,96.5,A
'Adenomera_andreae',27846,1,96.5,A
'Adenomera_andreae',28207,1,96.5,A
'Adenomera_andreae',28550,1,96.5,A
'Adenomera_andreae',28565,1,96.5,A
'Adenomera_andreae',28568,1,96.5,A
'Adenomera_andreae',28926,1,96.5,A
'Adenomera_andreae',30006,1,96.5,A
'Adenomera_heyeri',14530,1,96.5,A
'Adenomera_heyeri',28565,1,96.5,A
'Adenomera_heyeri',28926,1,96.5,A
'Adenomera_heyeri',29286,1,96.5,A
'Adenomera_heyeri',29641,1,96.5,A
'Adenomera_hylaedactyla',19923,1,96.5,A
'Adenomera_hylaedactyla',19926,1,96.5,A
'Adenomera_hylaedactyla',19930,1,96.5,A
'Adenomera_hylaedactyla',19931,1,96.5,A
'Adenomera_hylaedactyla',20634,1,96.5,A
'Adenomera_hylaedactyla',20987,1,96.5,A
'Adenomera_hylaedactyla',20988,1,96.5,A
'Adenomera_hylaedactyla',21346,1,96.5,A
'Adenomera_hylaedactyla',21347,1,96.5,A
'Adenomera_hylaedactyla',21359,1,96.5,A
'Adenomera_hylaedactyla',22082,1,96.5,A
'Adenomera_hylaedactyla',22432,1,96.5,A
'Adenomera_hylaedactyla',22805,1,96.5,A
'Adenomera_hylaedactyla',22823,1,96.5,A
'Adenomera_hylaedactyla',23171,1,96.5,A
'Adenomera_hylaedactyla',23507,1,96.5,A
'Adenomera_hylaedactyla',23531,1,96.5,A
'Adenomera_hylaedactyla',23877,1,96.5,A
'Adenomera_hylaedactyla',23882,1,96.5,A
'Adenomera_hylaedactyla',23891,1,96.5,A
'Adenomera_hylaedactyla',24251,1,96.5,A
'Adenomera_hylaedactyla',24257,1,96.5,A
'Adenomera_hylaedactyla',24586,1,96.5,A
'Adenomera_hylaedactyla',24957,1,96.5,A
'Adenomera_hylaedactyla',25310,1,96.5,A
'Adenomera_hylaedactyla',25679,1,96.5,A
'Adenomera_hylaedactyla',26043,1,96.5,A
'Adenomera_hylaedactyla',26045,1,96.5,A
'Adenomera_hylaedactyla',26049,1,96.5,A
'Adenomera_hylaedactyla',27488,1,96.5,A
'Adenomera_hylaedactyla',27840,1,96.5,A
'Adenomera_hylaedactyla',27848,1,96.5,A
'Adenomera_hylaedactyla',28198,1,96.5,A
'Adenomera_hylaedactyla',28918,1,96.5,A
'Adenomera_hylaedactyla',29279,1,96.5,A
'Adenomera_hylaedactyla',29287,1,96.5,A
'Adenomera_hylaedactyla',29999,1,96.5,A
'Agalychnis_callidryas',32136,1,96.5,A
'Agalychnis_granulosa',23184,1,96.5,A
'Agalychnis_lemur',31419,1,96.5,A
'Agalychnis_moreletii',33929,1,96.5,A
'Agalychnis_saltator',32136,1,96.5,A
'Aglyptodactylus_laticeps',17863,1,96.5,A
'Allobates_femoralis',20988,1,96.5,A
'Allobates_femoralis',26744,1,96.5,A
'Allobates_femoralis',29283,1,96.5,A
'Allobates_juanii',29266,1,96.5,A
'Allobates_talamancae',31419,1,96.5,A
'Allobates_talamancae',31777,1,96.5,A
'Alsodes_nodosus',12708,1,96.5,A
'Alsodes_vanzolinii',11267,1,96.5,A
'Alytes_cisternasii',45175,1,96.5,A
'Alytes_dickhilleni',43737,1,96.5,A
'Alytes_maurus',43014,1,96.5,A
'Alytes_maurus',43015,1,96.5,A
'Alytes_obstetricans',44816,1,96.5,A
'Alytes_obstetricans',45537,1,96.5,A
'Alytes_obstetricans',45541,1,96.5,A
'Alytes_obstetricans',45899,1,96.5,A
'Alytes_obstetricans',48787,1,96.5,A
'Ambystoma_barbouri',45096,1,96.5,A
'Ameerega_altamazonica',23503,1,96.5,A
'Ameerega_bilinguis',27099,1,96.5,A
'Ameerega_bilinguis',27103,1,96.5,A
'Ameerega_braccata',21003,1,96.5,A
'Ameerega_cainarachi',24223,1,96.5,A
'Ameerega_flavopicta',21372,1,96.5,A
'Ameerega_hahneli',23863,1,96.5,A
'Ameerega_hahneli',24940,1,96.5,A
'Ameerega_hahneli',25310,1,96.5,A
'Ameerega_hahneli',26744,1,96.5,A
'Ameerega_parvula',26021,1,96.5,A
'Ameerega_petersi',23145,1,96.5,A
'Ameerega_picta',30361,1,96.5,A
'Ameerega_pongoensis',23863,1,96.5,A
'Ameerega_pulchripecta',28207,1,96.5,A
'Ameerega_silverstonei',22784,1,96.5,A
'Ameerega_simulans',20988,1,96.5,A
'Ameerega_simulans',21709,1,96.5,A
'Ameerega_trivittata',22424,1,96.5,A
'Ameerega_trivittata',22784,1,96.5,A
'Ameerega_trivittata',22786,1,96.5,A
'Ameerega_trivittata',24941,1,96.5,A
'Ameerega_trivittata',25675,1,96.5,A
'Ameerega_trivittata',26031,1,96.5,A
'Ameerega_trivittata',30004,1,96.5,A
'Amolops_larutensis',29081,1,96.5,A
'Amphiuma_means',41128,1,96.5,A
'Amphiuma_pholeter',40417,1,96.5,A
'Amphiuma_pholeter',40777,1,96.5,A
'Amphiuma_pholeter',41493,1,96.5,A
'Amphiuma_tridactylum',40765,1,96.5,A
'Amphiuma_tridactylum',40768,1,96.5,A
'Amphiuma_tridactylum',41128,1,96.5,A
'Amphiuma_tridactylum',41129,1,96.5,A
'Amphiuma_tridactylum',41130,1,96.5,A
'Amphiuma_tridactylum',43293,1,96.5,A
'Amphiuma_tridactylum',44717,1,96.5,A
'Anaxyrus_americanus',45816,1,96.5,A
'Anaxyrus_americanus',47975,1,96.5,A
'Anaxyrus_nelsoni',44703,1,96.5,A
'Anaxyrus_punctatus',36796,1,96.5,A
'Anaxyrus_punctatus',38235,1,96.5,A
'Anaxyrus_punctatus',38241,1,96.5,A
'Anaxyrus_punctatus',40749,1,96.5,A
'Andinobates_fulguritus',30342,1,96.5,A
'Andinobates_minutus',31419,1,96.5,A
'Andrias_davidianus',38811,1,96.5,A
'Andrias_davidianus',42044,1,96.5,A
'Andrias_davidianus',42046,1,96.5,A
'Andrias_japonicus',43155,1,96.5,A
'Andrias_japonicus',43156,1,96.5,A
'Andrias_japonicus',43516,1,96.5,A
'Andrias_japonicus',46041,1,96.5,A
'Anodonthyla_boulengerii',16066,1,96.5,A
'Anodonthyla_boulengerii',20029,1,96.5,A
'Anodonthyla_hutchisoni',20030,1,96.5,A
'Anodonthyla_montana',17146,1,96.5,A
'Anodonthyla_moramora',16066,1,96.5,A
'Anodonthyla_nigrigularis',16066,1,96.5,A
'Anomaloglossus_degranvillei',30001,1,96.5,A
'Anotheca_spinosa',35004,1,96.5,A
'Anotheca_spinosa',35363,1,96.5,A
'Aparasphenodon_brunoi',18139,1,96.5,A
'Aplastodiscus_albosignatus',15250,1,96.5,A
'Aplastodiscus_arildae',16334,1,96.5,A
'Aplastodiscus_callipygius',16693,1,96.5,A
'Aplastodiscus_cavicola',17779,1,96.5,A
'Aplastodiscus_cochranae',14530,1,96.5,A
'Aplastodiscus_eugenioi',16335,1,96.5,A
'Aplastodiscus_leucopygius',16334,1,96.5,A
'Aplastodiscus_perviridis',14524,1,96.5,A
'Aplastodiscus_weygoldti',17778,1,96.5,A
'Argenteohyla_siemersi',14522,1,96.5,A
'Aromobates_saltuensis',30707,1,96.5,A
'Aromobates_saltuensis',31067,1,96.5,A
'Ascaphus_montanus',46505,1,96.5,A
'Ascaphus_truei',46139,1,96.5,A
'Ascaphus_truei',47946,1,96.5,A
'Atelognathus_patagonicus',9829,1,96.5,A
'Atylodes_genei',42543,1,96.5,A
'Atylodes_genei',46990,1,96.5,A
'Barycholos_ternetzi',22451,1,96.5,A
'Batrachoseps_attenuatus',44375,1,96.5,A
'Batrachoseps_diabolicus',43980,1,96.5,A
'Batrachoseps_gabrieli',42541,1,96.5,A
'Batrachoseps_gavilanensis',43618,1,96.5,A
'Batrachoseps_nigriventris',42540,1,96.5,A
'Batrachuperus_karlschmidti',40961,1,96.5,A
'Batrachuperus_karlschmidti',41322,1,96.5,A
'Batrachuperus_karlschmidti',41681,1,96.5,A
'Batrachuperus_pinchonii',40603,1,96.5,A
'Batrachuperus_yenyuanensis',40601,1,96.5,A
'Batrachyla_leptopus',8749,1,96.5,A
'Batrachyla_taeniata',9826,1,96.5,A
'Blommersia_blommersae',18588,1,96.5,A
'Blommersia_domerguei',18587,1,96.5,A
'Blommersia_kely',18227,1,96.5,A
'Blommersia_sarotra',18587,1,96.5,A
'Boehmantis_microtympanum',15706,1,96.5,A
'Boehmantis_microtympanum',16066,1,96.5,A
'Bokermannohyla_martinsi',18136,1,96.5,A
'Bolitoglossa_adspersa',29986,1,96.5,A
'Bolitoglossa_altamazonica',25305,1,96.5,A
'Bolitoglossa_alvaradoi',32135,1,96.5,A
'Bolitoglossa_cerroensis',32135,1,96.5,A
'Bolitoglossa_colonnea',31417,1,96.5,A
'Bolitoglossa_conanti',34651,1,96.5,A
'Bolitoglossa_decora',34293,1,96.5,A
'Bolitoglossa_diaphora',34651,1,96.5,A
'Bolitoglossa_dofleini',34650,1,96.5,A
'Bolitoglossa_dunni',34651,1,96.5,A
'Bolitoglossa_engelhardti',34288,1,96.5,A
'Bolitoglossa_epimela',32136,1,96.5,A
'Bolitoglossa_equatoriana',27463,1,96.5,A
'Bolitoglossa_flavimembris',34288,1,96.5,A
'Bolitoglossa_flaviventris',34287,1,96.5,A
'Bolitoglossa_franklini',35007,1,96.5,A
'Bolitoglossa_hermosa',40392,1,96.5,A
'Bolitoglossa_lincolni',34288,1,96.5,A
'Bolitoglossa_longissima',34293,1,96.5,A
'Bolitoglossa_mexicana',34294,1,96.5,A
'Bolitoglossa_mexicana',35006,1,96.5,A
'Bolitoglossa_mexicana',35011,1,96.5,A
'Bolitoglossa_mexicana',37521,1,96.5,A
'Bolitoglossa_oaxacensis',35363,1,96.5,A
'Bolitoglossa_occidentalis',35007,1,96.5,A
'Bolitoglossa_paraensis',23149,1,96.5,A
'Bolitoglossa_peruviana',27099,1,96.5,A
'Bolitoglossa_pesrubra',32134,1,96.5,A
'Bolitoglossa_platydactyla',36082,1,96.5,A
'Bolitoglossa_platydactyla',36083,1,96.5,A
'Bolitoglossa_riletti',35363,1,96.5,A
'Bolitoglossa_rufescens',35011,1,96.5,A
'Bolitoglossa_schizodactyla',31419,1,96.5,A
'Bolitoglossa_sima',28903,1,96.5,A
'Bolitoglossa_striatula',32136,1,96.5,A
'Bolitoglossa_synoria',33930,1,96.5,A
'Bolitoglossa_yucatana',36812,1,96.5,A
'Bombina_bombina',46287,1,96.5,A
'Bombina_bombina',46647,1,96.5,A
'Bombina_bombina',46648,1,96.5,A
'Bombina_bombina',46658,1,96.5,A
'Bombina_bombina',46998,1,96.5,A
'Bombina_bombina',48075,1,96.5,A
'Bombina_bombina',48435,1,96.5,A
'Bombina_bombina',48797,1,96.5,A
'Bombina_bombina',49518,1,96.5,A
'Bombina_pachypus',44476,1,96.5,A
'Bombina_pachypus',46271,1,96.5,A
'Bombina_variegata',44842,1,96.5,A
'Bombina_variegata',45923,1,96.5,A
'Bombina_variegata',46270,1,96.5,A
'Bombina_variegata',46271,1,96.5,A
'Bombina_variegata',46642,1,96.5,A
'Bombina_variegata',46990,1,96.5,A
'Bombina_variegata',46995,1,96.5,A
'Bombina_variegata',47709,1,96.5,A
'Boophis_albilabris',19665,1,96.5,A
'Boophis_boehmei',18588,1,96.5,A
'Boophis_doulioti',18224,1,96.5,A
'Boophis_goudotii',17867,1,96.5,A
'Boophis_madagascariensis',16066,1,96.5,A
'Boophis_marojezensis',18588,1,96.5,A
'Boophis_microtympanum',18947,1,96.5,A
'Boophis_pauliani',18588,1,96.5,A
'Boophis_sibilans',18588,1,96.5,A
'Boophis_viridis',16787,1,96.5,A
'Boophis_viridis',18588,1,96.5,A
'Boophis_vittatus',19667,1,96.5,A
'Breviceps_mossambicus',22539,1,96.5,A
'Breviceps_mossambicus',23256,1,96.5,A
'Bromeliohyla_bromeliacia',34648,1,96.5,A
'Buergeria_buergeri',42070,1,96.5,A
'Buergeria_buergeri',42071,1,96.5,A
'Buergeria_buergeri',42430,1,96.5,A
'Buergeria_buergeri',42433,1,96.5,A
'Buergeria_buergeri',43154,1,96.5,A
'Buergeria_buergeri',43519,1,96.5,A
'Buergeria_buergeri',43878,1,96.5,A
'Buergeria_buergeri',43879,1,96.5,A
'Buergeria_buergeri',43880,1,96.5,A
'Buergeria_buergeri',44601,1,96.5,A
'Buergeria_buergeri',44960,1,96.5,A
'Buergeria_buergeri',44961,1,96.5,A
'Buergeria_buergeri',46404,1,96.5,A
'Bufo_bankorensis',38100,1,96.5,A
'Bufo_gargarizans',44936,1,96.5,A
'Bufo_japonicus',41710,1,96.5,A
'Bufo_japonicus',42430,1,96.5,A
'Bufo_japonicus',43156,1,96.5,A
'Bufo_japonicus',43158,1,96.5,A
'Bufo_japonicus',43876,1,96.5,A
'Bufo_japonicus',44240,1,96.5,A
'Bufo_japonicus',44600,1,96.5,A
'Bufotes_oblongus',46346,1,96.5,A
'Bufotes_viridis',44864,1,96.5,A
'Bufo_tibetanus',39160,1,96.5,A
'Bufo_torrenticola',46404,1,96.5,A
'Bufo_tuberculatus',39160,1,96.5,A
'Cacosternum_boettgeri',14244,1,96.5,A
'Calotriton_asper',45900,1,96.5,A
'Ceratophrys_cornuta',21709,1,96.5,A
'Charadrahyla_nephila',34643,1,96.5,A
'Colostethus_fugax',26022,1,96.5,A
'Colostethus_imbricolus',30342,1,96.5,A
'Colostethus_inguinalis',29985,1,96.5,A
'Colostethus_panamansis',31419,1,96.5,A
'Colostethus_panamansis',31780,1,96.5,A
'Colostethus_pratti',31419,1,96.5,A
'Colostethus_pratti',31780,1,96.5,A
'Corythomantis_greeningi',22823,1,96.5,A
'Craugastor_crassidigitus',31418,1,96.5,A
'Craugastor_crassidigitus',31421,1,96.5,A
'Craugastor_crassidigitus',31780,1,96.5,A
'Craugastor_crassidigitus',31781,1,96.5,A
'Craugastor_crassidigitus',32135,1,96.5,A
'Craugastor_cuaquero',32135,1,96.5,A
'Craugastor_fitzingeri',31062,1,96.5,A
'Craugastor_fitzingeri',31420,1,96.5,A
'Craugastor_fitzingeri',31781,1,96.5,A
'Craugastor_fitzingeri',34654,1,96.5,A
'Craugastor_fleischmanni',32135,1,96.5,A
'Craugastor_longirostris',31062,1,96.5,A
'Craugastor_megacephalus',32135,1,96.5,A
'Craugastor_raniformis',31061,1,96.5,A
'Craugastor_raniformis',31421,1,96.5,A
'Craugastor_talamancae',31419,1,96.5,A
'Craugastor_talamancae',31777,1,96.5,A
'Craugastor_talamancae',31781,1,96.5,A
'Crossodactylus_caramaschii',16332,1,96.5,A
'Crossodactylus_schmidti',14885,1,96.5,A
'Cruziohyla_calcarifer',31419,1,96.5,A
'Cryptotriton_alvarezdeltoroi',35007,1,96.5,A
'Cycloramphus_boraceiensis',16335,1,96.5,A
'Cynops_ensicauda',41710,1,96.5,A
'Cynops_pyrrhogaster',42435,1,96.5,A
'Cynops_pyrrhogaster',42792,1,96.5,A
'Cynops_pyrrhogaster',42796,1,96.5,A
'Cynops_pyrrhogaster',43152,1,96.5,A
'Cynops_pyrrhogaster',43159,1,96.5,A
'Cynops_pyrrhogaster',43513,1,96.5,A
'Cynops_pyrrhogaster',43518,1,96.5,A
'Cynops_pyrrhogaster',43876,1,96.5,A
'Cynops_pyrrhogaster',43880,1,96.5,A
'Cynops_pyrrhogaster',44237,1,96.5,A
'Cynops_pyrrhogaster',44601,1,96.5,A
'Cynops_pyrrhogaster',44960,1,96.5,A
'Cynops_pyrrhogaster',45321,1,96.5,A
'Dendrobates_auratus',31419,1,96.5,A
'Dendrobates_leucomelas',29992,1,96.5,A
'Dendrobates_truncatus',29625,1,96.5,A
'Dendropsophus_anceps',18139,1,96.5,A
'Dendropsophus_berthalutzae',16696,1,96.5,A
'Dendropsophus_bipunctatus',20300,1,96.5,A
'Dendropsophus_carnifex',27101,1,96.5,A
'Dendropsophus_giesleri',16335,1,96.5,A
'Dendropsophus_minutus',15245,1,96.5,A
'Dendropsophus_miyatai',27463,1,96.5,A
'Dendropsophus_rubicundulus',16331,1,96.5,A
'Dendropsophus_sanborni',12720,1,96.5,A
'Dendropsophus_seniculus',16695,1,96.5,A
'Dendrotriton_rabbi',34649,1,96.5,A
'Diasporus_diastema',31776,1,96.5,A
'Discoglossus_galganoi',43732,1,96.5,A
'Discoglossus_galganoi',43735,1,96.5,A
'Discoglossus_galganoi',44092,1,96.5,A
'Discoglossus_galganoi',44093,1,96.5,A
'Discoglossus_galganoi',44455,1,96.5,A
'Discoglossus_galganoi',45174,1,96.5,A
'Discoglossus_galganoi',45892,1,96.5,A
'Discoglossus_jeanneae',40124,1,96.5,A
'Discoglossus_jeanneae',44094,1,96.5,A
'Discoglossus_jeanneae',45178,1,96.5,A
'Discoglossus_jeanneae',45896,1,96.5,A
'Discoglossus_jeanneae',45899,1,96.5,A
'Discoglossus_montalentii',45909,1,96.5,A
'Discoglossus_pictus',42668,1,96.5,A
'Discoglossus_pictus',43026,1,96.5,A
'Discoglossus_pictus',43744,1,96.5,A
'Discoglossus_sardus',45189,1,96.5,A
'Discoglossus_sardus',45908,1,96.5,A
'Duellmanohyla_soralia',34651,1,96.5,A
'Duttaphrynus_himalayanus',39163,1,96.5,A
'Duttaphrynus_melanostictus',36290,1,96.5,A
'Duttaphrynus_melanostictus',37361,1,96.5,A
'Duttaphrynus_melanostictus',38083,1,96.5,A
'Duttaphrynus_melanostictus',39158,1,96.5,A
'Duttaphrynus_melanostictus',40244,1,96.5,A
'Dyscophus_antongilii',20029,1,96.5,A
'Dyscophus_insularis',19304,1,96.5,A
'Ecnomiohyla_miliaria',31419,1,96.5,A
'Eleutherodactylus_atkinsi',37182,1,96.5,A
'Eleutherodactylus_atkinsi',37535,1,96.5,A
'Eleutherodactylus_bartonsmithi',36825,1,96.5,A
'Eleutherodactylus_caribe',36105,1,96.5,A
'Eleutherodactylus_coqui',36743,1,96.5,A
'Eleutherodactylus_eileenae',37540,1,96.5,A
'Eleutherodactylus_glamyrus',36463,1,96.5,A
'Eleutherodactylus_goini',37896,1,96.5,A
'Eleutherodactylus_gossei',35742,1,96.5,A
'Eleutherodactylus_greyi',37539,1,96.5,A
'Eleutherodactylus_inoptatus',35748,1,96.5,A
'Eleutherodactylus_intermedius',37897,1,96.5,A
'Eleutherodactylus_luteolus',35741,1,96.5,A
'Eleutherodactylus_mariposa',36824,1,96.5,A
'Eleutherodactylus_planirostris',35743,1,96.5,A
'Eleutherodactylus_planirostris',36743,1,96.5,A
'Eleutherodactylus_planirostris',36824,1,96.5,A
'Eleutherodactylus_planirostris',37182,1,96.5,A
'Eleutherodactylus_planirostris',37538,1,96.5,A
'Eleutherodactylus_planirostris',37541,1,96.5,A
'Eleutherodactylus_planirostris',37899,1,96.5,A
'Eleutherodactylus_principalis',36825,1,96.5,A
'Eleutherodactylus_rivularis',36823,1,96.5,A
'Eleutherodactylus_ronaldi',36825,1,96.5,A
'Eleutherodactylus_tonyi',36463,1,96.5,A
'Eleutherodactylus_tonyi',37183,1,96.5,A
'Eleutherodactylus_varleyi',37542,1,96.5,A
'Ensatina_eschscholtzii',43259,1,96.5,A
'Ensatina_eschscholtzii',44695,1,96.5,A
'Ensatina_eschscholtzii',44698,1,96.5,A
'Ensatina_eschscholtzii',45776,1,96.5,A
'Ensatina_eschscholtzii',46136,1,96.5,A
'Ensatina_eschscholtzii',46137,1,96.5,A
'Ensatina_eschscholtzii',46496,1,96.5,A
'Ensatina_eschscholtzii',46856,1,96.5,A
'Epipedobates_anthonyi',25300,1,96.5,A
'Epipedobates_espinosai',27461,1,96.5,A
'Epipedobates_tricolor',26740,1,96.5,A
'Espadarana_prosoblepon',31419,1,96.5,A
'Eupemphix_nattereri',22451,1,96.5,A
'Euphlyctis_cyanophlyctis',33375,1,96.5,A
'Euphlyctis_cyanophlyctis',39150,1,96.5,A
'Euphlyctis_cyanophlyctis',39513,1,96.5,A
'Euphlyctis_hexadactylus',33735,1,96.5,A
'Euphlyctis_hexadactylus',38069,1,96.5,A
'Eupsophus_calcaratus',6585,1,96.5,A
'Eupsophus_calcaratus',8026,1,96.5,A
'Eupsophus_calcaratus',8749,1,96.5,A
'Eupsophus_calcaratus',9467,1,96.5,A
'Eupsophus_contulmoensis',10546,1,96.5,A
'Eupsophus_emiliopugini',9467,1,96.5,A
'Eupsophus_roseus',9826,1,96.5,A
'Eupsophus_roseus',9828,1,96.5,A
'Eupsophus_vertebralis',9107,1,96.5,A
'Eupsophus_vertebralis',9826,1,96.5,A
'Eurycea_bislineata',47975,1,96.5,A
'Eurycea_chisholmensis',41482,1,96.5,A
'Eurycea_longicauda',42935,1,96.5,A
'Eurycea_longicauda',43644,1,96.5,A
'Eurycea_longicauda',43650,1,96.5,A
'Eurycea_longicauda',43658,1,96.5,A
'Eurycea_longicauda',44015,1,96.5,A
'Eurycea_longicauda',44019,1,96.5,A
'Eurycea_longicauda',44369,1,96.5,A
'Eurycea_longicauda',44729,1,96.5,A
'Eurycea_lucifuga',42927,1,96.5,A
'Eurycea_lucifuga',42934,1,96.5,A
'Eurycea_lucifuga',43284,1,96.5,A
'Eurycea_lucifuga',43291,1,96.5,A
'Eurycea_lucifuga',43644,1,96.5,A
'Eurycea_lucifuga',43646,1,96.5,A
'Eurycea_lucifuga',44369,1,96.5,A
'Eurycea_neotenes',40761,1,96.5,A
'Eurycea_pterophila',41121,1,96.5,A
'Eurycea_quadridigitata',41480,1,96.5,A
'Eurycea_quadridigitata',42578,1,96.5,A
'Eurycea_rathbuni',40057,1,96.5,A
'Eurycea_spelaea',42929,1,96.5,A
'Eurycea_tonkawae',41122,1,96.5,A
'Eurycea_tridentifera',40760,1,96.5,A
'Eurycea_troglodytes',40760,1,96.5,A
'Exerodonta_melanomma',35005,1,96.5,A
'Exerodonta_perkinsi',34648,1,96.5,A
'Fejervarya_cancrivora',29081,1,96.5,A
'Fejervarya_caperata',33735,1,96.5,A
'Fejervarya_granosa',33735,1,96.5,A
'Fejervarya_iskandari',24046,1,96.5,A
'Fejervarya_iskandari',24407,1,96.5,A
'Fejervarya_kudremukhensis',33735,1,96.5,A
'Fejervarya_limnocharis',24046,1,96.5,A
'Fejervarya_limnocharis',24406,1,96.5,A
'Fejervarya_limnocharis',32318,1,96.5,A
'Fejervarya_limnocharis',37722,1,96.5,A
'Fejervarya_limnocharis',42792,1,96.5,A
'Fejervarya_mudduraja',32656,1,96.5,A
'Fejervarya_mudduraja',33375,1,96.5,A
'Fejervarya_orissaensis',36984,1,96.5,A
'Fejervarya_sakishimensis',38824,1,96.5,A
'Fejervarya_triora',34484,1,96.5,A
'Gastrotheca_cornuta',31419,1,96.5,A
'Gephyromantis_asper',16066,1,96.5,A
'Gephyromantis_asper',18587,1,96.5,A
'Gephyromantis_azzurrae',18225,1,96.5,A
'Gephyromantis_boulengeri',20029,1,96.5,A
'Gephyromantis_cornutus',18588,1,96.5,A
'Gephyromantis_corvus',18225,1,96.5,A
'Gephyromantis_decaryi',16787,1,96.5,A
'Gephyromantis_enki',18225,1,96.5,A
'Gephyromantis_granulatus',21108,1,96.5,A
'Gephyromantis_horridus',19667,1,96.5,A
'Gephyromantis_leucomaculatus',20029,1,96.5,A
'Gephyromantis_malagasius',16787,1,96.5,A
'Gephyromantis_moseri',18588,1,96.5,A
'Gephyromantis_plicifer',16066,1,96.5,A
'Gephyromantis_pseudoasper',19665,1,96.5,A
'Gephyromantis_redimitus',16787,1,96.5,A
'Gephyromantis_redimitus',20029,1,96.5,A
'Gephyromantis_rivicola',20029,1,96.5,A
'Gephyromantis_silvanus',20029,1,96.5,A
'Gephyromantis_tschenki',16066,1,96.5,A
'Gephyromantis_ventrimaculatus',16066,1,96.5,A
'Gephyromantis_zavona',19667,1,96.5,A
'Glandirana_rugosa',42792,1,96.5,A
'Glandirana_rugosa',43507,1,96.5,A
'Glandirana_rugosa',43509,1,96.5,A
'Glyphoglossus_molossus',35199,1,96.5,A
'Guibemantis_albolineatus',16066,1,96.5,A
'Guibemantis_albolineatus',18588,1,96.5,A
'Guibemantis_bicalcaratus',18588,1,96.5,A
'Guibemantis_depressiceps',16066,1,96.5,A
'Guibemantis_depressiceps',18588,1,96.5,A
'Guibemantis_tornieri',18588,1,96.5,A
'Heleophryne_purcelli',12799,1,96.5,A
'Hemisus_marmoratus',23256,1,96.5,A
'Heterixalus_betsileo',17146,1,96.5,A
'Heterixalus_betsileo',17506,1,96.5,A
'Heterixalus_betsileo',18947,1,96.5,A
'Heterixalus_luteostriatus',21108,1,96.5,A
'Heterixalus_punctatus',18588,1,96.5,A
'Heterixalus_rutenbergi',17866,1,96.5,A
'Heterixalus_variabilis',19304,1,96.5,A
'Holoaden_bradei',16694,1,96.5,A
'Hoplobatrachus_crassus',38069,1,96.5,A
'Hoplobatrachus_crassus',39513,1,96.5,A
'Hoplobatrachus_rugulosus',30880,1,96.5,A
'Hoplobatrachus_rugulosus',32319,1,96.5,A
'Hoplobatrachus_rugulosus',33759,1,96.5,A
'Hoplobatrachus_rugulosus',34480,1,96.5,A
'Hoplobatrachus_rugulosus',34482,1,96.5,A
'Hoplobatrachus_rugulosus',35204,1,96.5,A
'Hoplobatrachus_rugulosus',35562,1,96.5,A
'Hoplobatrachus_rugulosus',35564,1,96.5,A
'Hoplobatrachus_rugulosus',36280,1,96.5,A
'Hoplobatrachus_tigerinus',33374,1,96.5,A
'Hoplobatrachus_tigerinus',38430,1,96.5,A
'Hoplobatrachus_tigerinus',38791,1,96.5,A
'Hoplobatrachus_tigerinus',39509,1,96.5,A
'Hyla_andersonii',45105,1,96.5,A
'Hyla_annectans',37723,1,96.5,A
'Hyla_annectans',41322,1,96.5,A
'Hyla_arborea',43044,1,96.5,A
'Hyla_arborea',44846,1,96.5,A
'Hyla_arborea',45559,1,96.5,A
'Hyla_arborea',45919,1,96.5,A
'Hyla_arborea',46282,1,96.5,A
'Hyla_arborea',47721,1,96.5,A
'Hyla_arborea',48431,1,96.5,A
'Hyla_arborea',48436,1,96.5,A
'Hyla_arborea',48782,1,96.5,A
'Hyla_arborea',48792,1,96.5,A
'Hyla_arenicolor',41480,1,96.5,A
'Hyla_avivoca',42210,1,96.5,A
'Hyla_avivoca',42213,1,96.5,A
'Hyla_avivoca',43293,1,96.5,A
'Hyla_chrysoscelis',42578,1,96.5,A
'Hyla_chrysoscelis',43293,1,96.5,A
'Hyla_chrysoscelis',44379,1,96.5,A
'Hyla_chrysoscelis',44733,1,96.5,A
'Hyla_chrysoscelis',45096,1,96.5,A
'Hyla_chrysoscelis',45440,1,96.5,A
'Hyla_cinerea',41137,1,96.5,A
'Hyla_eximia',36441,1,96.5,A
'Hyla_femoralis',42216,1,96.5,A
'Hyla_femoralis',42582,1,96.5,A
'Hyla_intermedia',44114,1,96.5,A
