,ranges
Acanthixalus_sonjae,5695.543398
Acanthixalus_spinosus,1213645.391
Acris_crepitans,3209433.507
Acris_gryllus,667449.6864
Adelastes_hylonomos,139.4881824
Adelophryne_adiastola,220709.8249
Adelophryne_baturitensis,1033.142109
Adelophryne_gutturosa,257550.4372
Adelophryne_maranguapensis,32.53890943
Adelophryne_pachydactyla,5796.903454
Adelophryne_patamona,1411.669614
Adelotus_brevis,478223.7422
Adelphobates_castaneoticus,24244.2343
Adelphobates_galactonotus,568829.3735
Adelphobates_quinquevittatus,1439478.377
Adenomera_ajurauna,228.6034347
Adenomera_andreae,5976957.429
Adenomera_araucaria,3941.52158
Adenomera_bokermanni,229899.9334
Adenomera_coca,82.41318209
Adenomera_diptyx,455283.0853
Adenomera_heyeri,209117.4258
Adenomera_hylaedactyla,9405561.21
Adenomera_lutzi,6693.290448
Adenomera_marmorata,228124.0293
Adenomera_martinezi,673544.9051
Adenomera_nanus,13940.66896
Adenomera_thomei,5936.372873
Adenomus_dasi,38.81030919
Adenomus_kandianus,0.420183423
Adenomus_kelaartii,4928.031156
Afghanodon_mustersi,306.8672718
Afrixalus_aureus,100277.5592
Afrixalus_brachycnemis,439271.9788
Afrixalus_clarkei,1426.083249
Afrixalus_crotalus,196482.2671
Afrixalus_delicatus,748759.7965
Afrixalus_dorsalis,609638.9484
Afrixalus_dorsimaculatus,605.5837116
Afrixalus_enseticola,3280.782156
Afrixalus_equatorialis,553134.8008
Afrixalus_fornasini,944389.1264
Afrixalus_fulvovittatus,95612.22645
Afrixalus_knysnae,1755.914649
Afrixalus_lacteus,581.1296933
Afrixalus_laevis,1211518.644
Afrixalus_leucostictus,339622.0352
Afrixalus_lindholmi,0.59168626
Afrixalus_morerei,9049.251127
Afrixalus_nigeriensis,238373.5338
Afrixalus_orophilus,17815.243
Afrixalus_osorioi,1203361.156
Afrixalus_paradorsalis,450751.4759
Afrixalus_quadrivittatus,5187441.812
Afrixalus_schneideri,4.591309809
Afrixalus_septentrionalis,36662.68524
Afrixalus_spinifrons,50503.02338
Afrixalus_stuhlmanni,109434.7982
Afrixalus_sylvaticus,7963.123039
Afrixalus_uluguruensis,993.1081198
Afrixalus_upembae,5900.128153
Afrixalus_vibekensis,1118.336343
Afrixalus_vittiger,1528799.587
Afrixalus_weidholzi,2158264.146
Afrixalus_wittei,967881.6257
Agalychnis_annae,5213.602006
Agalychnis_aspera,7990.855304
Agalychnis_buckleyi,58778.08655
Agalychnis_callidryas,497921.2559
Agalychnis_dacnicolor,149967.9232
Agalychnis_danieli,159.7317111
Agalychnis_granulosa,19035.27167
Agalychnis_hulli,35134.82402
Agalychnis_lemur,16427.8597
Agalychnis_litodryas,1842.554322
Agalychnis_medinae,439.8032431
Agalychnis_moreletii,35467.07787
Agalychnis_psilopygion,1201.751394
Agalychnis_saltator,12578.6764
Agalychnis_spurrelli,92293.35443
Aglyptodactylus_laticeps,28.26642405
Aglyptodactylus_madagascariensis,152848.5819
Aglyptodactylus_securifer,5924.917778
Alcalus_baluensis,54044.44477
Alexteroon_hypsiphonus,528909.5809
Alexteroon_jynx,216.8862858
Alexteroon_obstetricans,284849.8794
Allobates_alessandroi,1319.247283
Allobates_algorei,3256.842899
Allobates_bromelicola,52.52698763
Allobates_brunneus,1913449.48
Allobates_caeruleodactylus,1762.668713
Allobates_caribe,34.39635086
Allobates_cepedai,20.6796292
Allobates_chalcopis,3.343141486
Allobates_conspicuus,367771.9575
Allobates_crombiei,12849.36084
Allobates_femoralis,5607495.668
Allobates_fratisenescus,140.5977445
Allobates_fuscellus,673217.1615
Allobates_gasconi,96784.50196
Allobates_goianus,25693.81659
Allobates_granti,33078.58694
Allobates_humilis,538.4558246
Allobates_insperatus,16250.98691
Allobates_juanii,68.62335673
Allobates_kingsburyi,1428.02972
Allobates_mandelorum,573.8931584
Allobates_marchesianus,3381470.697
Allobates_masniger,10388.52068
Allobates_mcdiarmidi,32642.02679
Allobates_melanolaemus,8470.803597
Allobates_myersi,54630.0359
Allobates_nidicola,13.53092315
Allobates_niputidea,4920.882302
Allobates_olfersioides,339444.8214
Allobates_ornatus,163.1063945
Allobates_paleovarzensis,5802.29831
Allobates_picachos,182.388443
Allobates_pittieri,10534.90792
Allobates_ranoides,2174.963038
Allobates_sanmartini,501.4659026
Allobates_spumaponens,75.72367115
Allobates_subfolionidificans,179.0350381
Allobates_sumtuosus,157729.4184
Allobates_talamancae,115736.3373
Allobates_trilineatus,796747.1319
Allobates_undulatus,206.8450667
Allobates_vanzolinius,92625.05045
Allobates_wayuu,242.2648707
Allobates_zaparo,45361.98563
Allophryne_ruthveni,3054765.412
Allopaa_hazarensis,42116.9011
Alsodes_australis,6040.981971
Alsodes_barrioi,1258.972317
Alsodes_cantillanensis,17.05780446
Alsodes_gargola,10330.31349
Alsodes_hugoi,112.0492404
Alsodes_igneus,32.49374626
Alsodes_kaweshkari,100.1782949
Alsodes_montanus,22.3401697
Alsodes_monticola,65.10030339
Alsodes_nodosus,7940.16892
Alsodes_norae,3.126842003
Alsodes_pehuenche,4.844946639
Alsodes_tumultuosus,51.68061691
Alsodes_valdiviensis,757.4076116
Alsodes_vanzolinii,8.561823711
Alsodes_verrucosus,818.7634675
Alsodes_vittatus,171.4891511
Altiphrynoides_malcolmi,629.8550465
Altiphrynoides_osgoodi,55.80174234
Alytes_cisternasii,170431.8579
Alytes_dickhilleni,30785.83376
Alytes_maurus,5158.53438
Alytes_muletensis,228.5126548
Alytes_obstetricans,990093.0413
Amazophrynella_bokermanni,18070.04876
Amazophrynella_minuta,5164730.701
Ambystoma_altamirani,1441.958594
Ambystoma_amblycephalum,18.40075803
Ambystoma_andersoni,18.84770625
Ambystoma_annulatum,140915.5855
Ambystoma_barbouri,69056.04699
Ambystoma_bishopi,28404.56059
Ambystoma_bombypellum,85.51693816
Ambystoma_californiense,17432.1706
Ambystoma_cingulatum,92474.17339
Ambystoma_dumerilii,5.531051679
Ambystoma_flavipiperatum,225.5744998
Ambystoma_gracile,350863.2801
Ambystoma_granulosum,124.4951707
Ambystoma_jeffersonianum,470695.8837
Ambystoma_laterale,1977071.554
Ambystoma_leorae,35.30093861
Ambystoma_lermaense,80.34853122
Ambystoma_mabeei,112023.1908
Ambystoma_macrodactylum,1443168.221
Ambystoma_maculatum,3105950.429
Ambystoma_mavortium,3679718.342
Ambystoma_mexicanum,102.6680461
Ambystoma_opacum,1683641.902
Ambystoma_ordinarium,4383.243728
Ambystoma_rivulare,227.2527893
Ambystoma_rosaceum,162851.289
Ambystoma_silvense,1059.970384
Ambystoma_talpoideum,678159.7606
Ambystoma_taylori,15.81624928
Ambystoma_texanum,1389178.448
Ambystoma_velasci,678666.3079
Ameerega_andina,101.9429185
Ameerega_bassleri,19698.35013
Ameerega_berohoka,31547.17757
Ameerega_bilinguis,37446.63042
Ameerega_boehmei,1368.715635
Ameerega_boliviana,7290.276669
Ameerega_braccata,277715.508
Ameerega_cainarachi,737.2944025
Ameerega_erythromos,32.56326268
Ameerega_flavopicta,902110.5161
Ameerega_hahneli,3955649.131
Ameerega_ingeri,15.87049975
Ameerega_macero,81524.12174
Ameerega_parvula,193592.0645
Ameerega_petersi,90703.70904
Ameerega_picta,3468044.444
Ameerega_planipaleae,220.929254
Ameerega_pongoensis,10058.54915
Ameerega_pulchripecta,7021.820971
Ameerega_rubriventris,6660.96178
Ameerega_silverstonei,738.787573
Ameerega_simulans,20725.34615
Ameerega_smaragdina,554.0283701
Ameerega_trivittata,4331838.368
Ameerega_yungicola,478.3204291
Amietia_amieti,83.77483898
Amietia_angolensis,4274988.917
Amietia_desaegeri,8744.680582
Amietia_dracomontana,5224.002454
Amietia_fuscigula,223495.5329
Amietia_hymenopus,22311.68029
Amietia_inyangae,661.9196972
Amietia_johnstoni,332.7944026
Amietia_lubrica,748.1815903
Amietia_ruwenzorica,2129.589204
Amietia_tenuoplicata,318.8128264
Amietia_vandijki,2931.14263
