,ranges
Abditomys_latidens,788.230871
Abeomelomys_sevia,9684.011916
Abrawayaomys_ruschii,7947.730408
Abrocoma_bennettii,54855.38282
Abrocoma_boliviensis,64.73989331
Abrocoma_budini,405.4961361
Abrocoma_cinerea,443829.0856
Abrocoma_famatina,3306.522713
Abrocoma_shistacea,715.1630283
Abrocoma_uspallata,14.31778254
Abrocoma_vaccarum,37.17566224
Abrothrix_andinus,612703.7002
Abrothrix_hershkovitzi,281.1691383
Abrothrix_illuteus,36721.53992
Abrothrix_jelskii,498019.6169
Abrothrix_lanosus,40594.08953
Abrothrix_longipilis,717944.2634
Abrothrix_markhami,6091.15177
Abrothrix_olivaceus,1083376.851
Abrothrix_sanborni,22140.43079
Acerodon_celebensis,177574.2776
Acerodon_humilis,929.1571724
Acerodon_jubatus,155341.5286
Acerodon_leucotis,12751.18159
Acerodon_mackloti,74622.80351
Acinonyx_jubatus,2943559.79
Acomys_airensis,1825633.214
Acomys_cahirinus,4017437.129
Acomys_cilicicus,17.62440456
Acomys_cineraceus,1049532.748
Acomys_dimidiatus,1558104.768
Acomys_ignitus,105257.2206
Acomys_johannis,426072.957
Acomys_kempi,569641.4481
Acomys_louisae,688439.3923
Acomys_minous,8344.721191
Acomys_mullah,160421.3104
Acomys_nesiotes,9272.674957
Acomys_percivali,222957.7775
Acomys_russatus,701748.7206
Acomys_seurati,298864.4711
Acomys_spinosissimus,1624190.943
Acomys_subspinosus,71745.84468
Acomys_wilsoni,1372807.886
Aconaemys_fuscus,50643.19449
Aconaemys_porteri,30176.40332
Aconaemys_sagei,10248.77628
Acrobates_pygmaeus,1200801.982
Addax_nasomaculatus,34478.16762
Aegialomys_galapagoensis,572.7385239
Aegialomys_xanthaeolus,258914.4626
Aepeomys_lugens,9497.293936
Aepeomys_reigi,5527.844869
Aepyceros_melampus,3483000.888
Aepyprymnus_rufescens,566491.8472
Aeretes_melanopterus,56078.30334
Aeromys_tephromelas,362086.0928
Aeromys_thomasi,446207.0238
Aethalops_aequalis,34852.31044
Aethalops_alecto,682352.1814
Aethomys_bocagei,253323.0262
Aethomys_chrysophilus,4154303.103
Aethomys_granti,131762.5336
Aethomys_hindei,2482096.143
Aethomys_ineptus,440331.9962
Aethomys_kaiseri,1693323.932
Aethomys_namaquensis,3338613.425
Aethomys_nyikae,897954.6867
Aethomys_silindensis,19128.84775
Aethomys_stannarius,170066.6352
Aethomys_thomasi,270707.1098
Ailuropoda_melanoleuca,16284.70479
Ailurops_melanotis,274.5137561
Ailurops_ursinus,179858.7618
Ailurus_fulgens,338845.6891
Akodon_aerosus,114173.5495
Akodon_affinis,42194.83806
Akodon_albiventer,402031.1976
Akodon_aliquantulus,482.0705291
Akodon_azarae,1227619.515
Akodon_bogotensis,60127.38713
Akodon_boliviensis,217523.1285
Akodon_budini,19875.9005
Akodon_cursor,824312.2802
Akodon_dayi,289349.5403
Akodon_dolores,54979.73166
Akodon_fumeus,151083.6799
Akodon_iniscatus,573428.2485
Akodon_juninensis,115443.544
Akodon_kofordi,13610.4472
Akodon_latebricola,5994.6507
Akodon_leucolimnaeus,336.5889731
Akodon_lindberghi,6824.016015
Akodon_lutescens,177992.5098
Akodon_mimus,57422.78093
Akodon_molinae,429206.148
Akodon_mollis,265417.5171
Akodon_montensis,1050553.529
Akodon_mystax,470.5635733
Akodon_neocenus,35745.9068
Akodon_oenos,941.8864763
Akodon_orophilus,33885.89569
Akodon_paranaensis,323453.1012
Akodon_pervalens,29100.43348
Akodon_philipmyersi,2113.677838
